[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=GOOGL" [Client 186.237.225.6] [Length 61] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=EDBL" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=AMZN&date=2025-10-20" [Client 186.237.225.6] [Length 99] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?no_page=1&month=10"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BDRX" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DIS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=COKE" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=CLOV" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AMAT" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=ANY&date=2025-10-20" [Client 186.237.225.6] [Length 98] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?no_page=1&month=10"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=APPS&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?no_page=1&month=10"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BEDU" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DVN" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BG" [Client 186.237.225.6] [Length 58] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BNED" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=ANY" [Client 186.237.225.6] [Length 59] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=APPS" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRUG" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DNA" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AREB" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:47 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=GFAI&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:48 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DOMO&date=2025-10-20" [Client 186.237.225.6] [Length 98] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:48 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=AGEN&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/variations?month=10&sort=ppart_desc" [Client 186.237.225.6] [Length 38439] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AREB" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DNA" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRUG" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=APPS" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=ANY" [Client 186.237.225.6] [Length 59] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BNED" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BG" [Client 186.237.225.6] [Length 58] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DVN" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=BTDR&date=2025-10-20" [Client 186.237.225.6] [Length 98] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BEDU" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DRMA&date=2025-10-20" [Client 186.237.225.6] [Length 96] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AMAT" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=CLOV" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=COKE" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DIS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BDRX" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=EDBL" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=GOOGL" [Client 186.237.225.6] [Length 61] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AAPL" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=GREE" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:49 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=COST" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DOV" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DE" [Client 186.237.225.6] [Length 58] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AVGO" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BNGO" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AMZN" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BTDR" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRMA" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=GFAI" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DOMO" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AGEN" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DRUG&date=2025-10-20" [Client 186.237.225.6] [Length 98] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=AMZN&date=2025-10-20" [Client 186.237.225.6] [Length 99] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_asc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=AREB&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:50 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DNA&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:52 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DRS&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:52 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=APPS&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:52 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=ANY&date=2025-10-20" [Client 186.237.225.6] [Length 98] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:54 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=BNED&date=2025-10-20" [Client 186.237.225.6] [Length 96] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:54 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=BG&date=2025-10-20" [Client 186.237.225.6] [Length 96] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:55 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=DVN&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
[21/Oct/2025:13:53:55 +0000] - 200 200 - GET https falchi.com.br "/api/market/historical-quote?symbol=BEDU&date=2025-10-20" [Client 186.237.225.6] [Length 97] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations?month=10&sort=ppart_desc"
